iter	Passed	Remaining
400	33708	50352
401	33802	50282
402	33883	50195
403	34074	50268
404	34189	50229
405	34279	50152
406	34367	50073
407	34461	50003
408	34554	49930
409	34645	49856
410	34736	49781
411	34819	49693
412	34903	49608
413	34994	49533
414	35088	49461
415	35170	49374
416	35252	49285
417	35345	49212
418	35428	49126
419	35519	49050
420	35606	48969
421	35698	48894
422	35790	48821
423	35881	48744
424	35977	48675
425	36059	48586
426	36153	48515
427	36246	48441
428	36339	48367
429	36427	48287
430	36518	48211
431	36612	48138
432	36698	48055
433	36785	47973
434	36879	47900
435	36972	47826
436	37058	47743
437	37150	47667
438	37242	47592
439	37330	47511
440	37424	47438
441	37507	47351
442	37589	47262
443	37669	47172
444	37748	47079
445	37837	47000
446	37931	46926
447	38021	46847
448	38108	46765
449	38199	46688
450	38287	46607
451	38376	46527
452	38458	46438
453	38544	46355
454	38639	46282
455	38727	46201
456	38820	46125
457	38912	46049
458	38995	45961
459	39087	45885
460	39176	45805
461	39263	45722
462	39353	45642
463	39439	45558
464	39525	45475
465	39601	45379
466	39679	45287
467	39780	45221
468	39869	45140
469	39955	45056
470	40052	44985
471	40139	44902
472	40233	44827
473	40325	44749
474	40405	44658
475	40493	44577
476	40585	44499
477	40677	44421
478	40764	44339
479	40856	44261
480	40955	44191
481	41039	44104
482	41129	44025
483	41220	43946
484	41317	43872
485	41393	43778
486	41476	43690
487	41567	43612
488	41657	43531
489	41738	43442
490	41830	43364
491	41906	43269
492	42003	43196
493	42088	43110
494	42183	43036
495	42276	42958
496	42371	42882
497	42449	42790
498	42542	42712
499	42654	42654
500	42742	42571
501	42830	42489
502	42919	42407
503	43006	42323
504	43097	42244
505	43188	42164
506	43280	42085
507	43373	42006
508	43462	41925
509	43559	41850
510	43655	41776
511	43749	41698
512	43842	41620
513	43935	41541
514	44023	41458
515	44108	41372
516	44198	41291
517	44293	41215
518	44391	41140
519	44470	41049
520	44563	40971
521	44644	40881
522	44741	40806
523	44834	40727
524	44921	40643
525	45008	40558
526	45092	40472
527	45178	40386
528	45272	40308
529	45364	40228
530	45458	40150
531	45545	40066
532	45642	39990
533	45735	39911
534	45825	39829
535	45912	39745
536	45998	39659
537	46089	39578
538	46182	39499
539	46278	39422
540	46373	39344
541	46460	39260
542	46555	39182
543	46647	39101
544	46736	39018
545	46826	38936
546	46919	38856
547	47015	38779
548	47106	38697
549	47198	38616
550	47287	38533
551	47372	38446
552	47454	38358
553	47548	38278
554	47637	38195
555	47730	38116
556	47825	38036
557	47916	37955
558	48004	37871
559	48095	37789
560	48189	37709
561	48277	37625
562	48370	37545
563	48445	37451
564	48537	37369
565	48611	37274
